trader_id,squad_account_number,business_name,business_type,first_name,last_name,email,phone_number,location,primary_language,nin_number,bvn_number,total_revenue_monthly,total_transactions_monthly,average_monthly_revenue,ajo_savings_balance,ajo_goal_amount,ajo_consistency_score,zovu_pulse_score,max_credit_limit,shield_status,created_at,updated_at
T_100021,9934079895,Alhaji Abubakar's Enterprises,Wholesaler,Abubakar,Danjuma,abubakar.danjuma81@gmail.com,00642782511,Idumota,Pidgin,31268503244,85258994205,1336912.76,296,4516.6,198277.21,2005000.0,0.91,18.4,0.0,Gold,2025-07-08 21:46:23.314807,2025-08-05 21:46:23.314807
T_100022,9927146350,Mama Joshua's Wholesale,Small Kiosk,Joshua,Okoro,joshua.okoro32@gmail.com,01896733607,Idumota,Hausa,15858600051,32552860097,861382.07,544,1583.42,148837.46,1292000.0,0.61,31.5,0.0,None,2025-07-22 21:46:23.314909,2025-08-06 21:46:23.314909
T_100023,9970696387,Brother Sadiq's Wholesale,Wholesaler,Sadiq,Eze,sadiq.eze49@gmail.com,04473271670,Balogun,Yoruba,55437675160,66050175187,909049.54,642,1415.97,128705.43,1364000.0,0.88,97.5,1818100.0,Gold,2025-05-29 21:46:23.315015,2025-06-12 21:46:23.315015
T_100024,9941493301,Sister Funke's Ventures,Small Kiosk,Funke,Okonkwo,funke.okonkwo43@gmail.com,05722516732,Ketu,Igbo,23012848192,81680519137,379346.8,1057,358.89,54925.57,569000.0,0.64,43.1,151700.0,Bronze,2025-11-12 21:46:23.315119,2025-12-11 21:46:23.315119
T_100025,9947301523,Sister Blessing's Global,Wholesaler,Blessing,Suleiman,blessing.suleiman41@gmail.com,08179795199,Oshodi,English,76391521516,36294331809,1230825.61,1495,823.29,206194.16,1846000.0,0.39,30.1,0.0,Silver,2025-07-25 21:46:23.315216,2025-07-30 21:46:23.315216
T_100026,9914991992,Mama Ibrahim's Ventures,Small Kiosk,Ibrahim,Balogun,ibrahim.balogun13@gmail.com,03894878312,Mile 12,Hausa,72753106274,70700971941,654891.47,399,1641.33,118456.83,982000.0,0.75,47.1,262000.0,Bronze,2025-10-25 21:46:23.315322,2025-10-31 21:46:23.315322
T_100027,9992029454,Alhaji Kelechi's Enterprises,Retailer,Kelechi,Ibrahim,kelechi.ibrahim13@gmail.com,03003786965,Idumota,English,80981576343,84564807237,2474714.76,489,5060.77,291591.94,3712000.0,0.67,55.0,989900.0,None,2025-11-08 21:46:23.315430,2025-11-13 21:46:23.315430
T_100028,9927896197,Mama Abubakar's Ventures,Wholesaler,Abubakar,Ibrahim,abubakar.ibrahim69@gmail.com,08173691077,Alaba,Yoruba,77291523814,46405882207,1810237.83,637,2841.82,145502.67,2715000.0,1.0,32.4,0.0,Bronze,2025-11-25 21:46:23.315531,2025-12-04 21:46:23.315531
T_100029,9938833660,Sister Olumide's Hub,Wholesaler,Olumide,Danjuma,olumide.danjuma21@gmail.com,00960185096,Mile 12,Igbo,37080064726,62324366700,734561.01,1118,657.03,135151.16,1102000.0,0.41,12.8,0.0,None,2026-01-16 21:46:23.315630,2026-02-09 21:46:23.315630
T_100030,9960102102,Madam Mary's Enterprises,Wholesaler,Mary,Bello,mary.bello77@gmail.com,01215918136,Oshodi,Yoruba,07661771810,94395240515,1265539.65,1219,1038.18,112613.06,1898000.0,0.82,99.6,2531100.0,Gold,2026-02-05 21:46:23.315731,2026-02-11 21:46:23.315731
T_100031,9947172935,Alhaji Ifeanyi's Retail,Small Kiosk,Ifeanyi,Ibrahim,ifeanyi.ibrahim63@gmail.com,02958888744,Oshodi,English,04599176885,56752727635,575634.6,719,800.6,91306.93,863000.0,0.99,21.4,0.0,None,2026-01-06 21:46:23.315843,2026-01-28 21:46:23.315843
T_100032,9926220859,Mama Zainab's Enterprises,Online Vendor,Zainab,Eze,zainab.eze17@gmail.com,08822640518,Ketu,Pidgin,24570437958,34542237990,1895951.83,791,2396.9,222234.7,2844000.0,0.4,64.6,758400.0,Bronze,2025-08-18 21:46:23.315948,2025-09-03 21:46:23.315948
T_100033,9919203592,Madam Nneka's Enterprises,Retailer,Nneka,Uba,nneka.uba19@gmail.com,05141264233,Idumota,Igbo,28722621205,76154623680,2177231.57,761,2861.01,348003.01,3266000.0,0.69,26.1,0.0,None,2025-11-15 21:46:23.316049,2025-11-21 21:46:23.316049
T_100034,9955753446,Alhaji Folashade's Stall,Retailer,Folashade,Bello,folashade.bello49@gmail.com,00170913229,Oshodi,Pidgin,06318833118,75042635190,1357535.38,1105,1228.54,224569.25,2036000.0,0.75,83.8,1357500.0,Bronze,2025-11-30 21:46:23.316550,2025-12-23 21:46:23.316550
T_100035,9917525045,Sister Kelechi's Retail,Online Vendor,Kelechi,Danjuma,kelechi.danjuma87@gmail.com,07507537784,Mile 12,Yoruba,11928794529,41610936173,239187.42,720,332.2,24185.33,359000.0,0.8,73.8,239200.0,None,2025-11-01 21:46:23.316880,2025-11-14 21:46:23.316880
T_100036,9916421947,Madam Bolanle's Hub,Wholesaler,Bolanle,Balogun,bolanle.balogun28@gmail.com,09127949743,Idumota,Hausa,13692473038,09053861938,739487.14,452,1636.03,73129.52,1109000.0,0.49,42.2,295800.0,Gold,2026-01-17 21:46:23.317171,2026-01-18 21:46:23.317171
T_100037,9981328327,Sister Blessing's Ventures,Small Kiosk,Blessing,Uba,blessing.uba53@gmail.com,03901018369,Balogun,Igbo,09443494394,18925646203,260488.76,786,331.41,14825.83,391000.0,0.4,89.4,521000.0,Bronze,2026-01-04 21:46:23.317357,2026-01-29 21:46:23.317357
T_100038,9981994321,Alhaji Tunde's Wholesale,Small Kiosk,Tunde,Balogun,tunde.balogun94@gmail.com,03226282107,Balogun,Pidgin,80831636536,94679398278,1649917.36,451,3658.35,253703.64,2475000.0,0.67,84.6,1649900.0,Gold,2025-10-19 21:46:23.317535,2025-11-14 21:46:23.317535
T_100039,9962595117,Madam Tunde's Stall,Wholesaler,Tunde,Chukwu,tunde.chukwu92@gmail.com,07691608132,Balogun,Yoruba,77299971619,59250943333,2235937.26,725,3084.05,251532.87,3354000.0,0.77,40.1,894400.0,None,2025-06-13 21:46:23.317715,2025-07-08 21:46:23.317715
T_100040,9911281613,Baba Tunde's Hub,Wholesaler,Tunde,Abubakar,tunde.abubakar16@gmail.com,09739475393,Ketu,Igbo,27718144901,25113313079,1080905.45,1420,761.2,177115.58,1621000.0,0.78,91.2,2161800.0,Gold,2026-02-07 21:46:23.317907,2026-02-13 21:46:23.317907
T_100041,9945367456,Brother Nneka's Hub,Retailer,Nneka,Balogun,nneka.balogun57@gmail.com,02476496039,Idumota,Igbo,94888663011,55912271575,966110.84,385,2509.38,58129.5,1449000.0,0.51,88.3,1932200.0,Silver,2025-07-30 21:46:23.318011,2025-08-22 21:46:23.318011
T_100042,9971599269,Madam Zainab's Retail,Online Vendor,Zainab,Adeyemi,zainab.adeyemi96@gmail.com,08311377614,Alaba,English,11093187865,77018392736,2148367.85,1395,1540.05,307318.08,3223000.0,0.9,27.9,0.0,Gold,2025-10-29 21:46:23.318114,2025-11-06 21:46:23.318114
T_100043,9976524223,Brother Nneka's Wholesale,Retailer,Nneka,Bello,nneka.bello33@gmail.com,08307212143,Balogun,Hausa,06654871429,69297829333,1527771.73,807,1893.15,269718.48,2292000.0,0.43,21.5,0.0,Bronze,2025-07-21 21:46:23.318217,2025-08-19 21:46:23.318217
T_100044,9916733900,Alhaji Folashade's Ventures,Wholesaler,Folashade,Ibrahim,folashade.ibrahim4@gmail.com,00606985052,Oshodi,Igbo,19903157156,25963413803,813644.52,661,1230.93,155228.63,1220000.0,0.47,20.3,0.0,None,2025-09-01 21:46:23.318321,2025-09-08 21:46:23.318321
T_100045,9974426323,Baba Nneka's Wholesale,Online Vendor,Nneka,Ibrahim,nneka.ibrahim38@gmail.com,06352516604,Mushin,Yoruba,73800222225,29574846720,1326702.36,650,2041.08,175917.49,1990000.0,0.78,8.6,0.0,Gold,2025-05-31 21:46:23.318421,2025-06-18 21:46:23.318421
T_100046,9983564243,Brother Chioma's Stall,Wholesaler,Chioma,Okoro,chioma.okoro40@gmail.com,07044726200,Mile 12,Yoruba,64458193817,11425311873,691388.12,931,742.63,85016.4,1037000.0,0.73,97.7,1382800.0,Silver,2025-09-14 21:46:23.318522,2025-10-13 21:46:23.318522
T_100047,9916532318,Brother Aisha's Hub,Small Kiosk,Aisha,Yusuf,aisha.yusuf25@gmail.com,06690943817,Ketu,Yoruba,33421424819,15852656063,2080806.08,1460,1425.21,182296.09,3121000.0,0.53,43.8,832300.0,Gold,2025-11-14 21:46:23.318620,2025-11-25 21:46:23.318620
T_100048,9986227071,Brother Zainab's Retail,Small Kiosk,Zainab,Nwosu,zainab.nwosu83@gmail.com,04462344792,Idumota,Igbo,88722820793,45075235528,1693843.63,299,5665.03,155279.02,2541000.0,0.75,42.2,677500.0,Bronze,2025-12-04 21:46:23.318729,2025-12-22 21:46:23.318729
T_100049,9978980838,Mama Olumide's Wholesale,Online Vendor,Olumide,Uba,olumide.uba45@gmail.com,04427821275,Idumota,Igbo,12388309111,77567844897,2426533.42,1083,2240.57,168586.85,3640000.0,0.43,33.3,0.0,None,2025-05-22 21:46:23.318833,2025-05-28 21:46:23.318833
T_100050,9932177207,Baba Nneka's Enterprises,Retailer,Nneka,Ibrahim,nneka.ibrahim16@gmail.com,06775374934,Alaba,Igbo,02460506826,49379146526,1847334.77,1203,1535.61,148126.67,2771000.0,0.47,80.6,1847300.0,Bronze,2025-07-05 21:46:23.318935,2025-08-04 21:46:23.318935
T_100051,9926307339,Baba Olumide's Enterprises,Online Vendor,Olumide,Uba,olumide.uba26@gmail.com,09315923033,Idumota,Pidgin,37662890018,88377893384,768353.45,1442,532.84,76230.49,1153000.0,0.32,27.9,0.0,Bronze,2025-05-17 21:46:23.319034,2025-05-31 21:46:23.319034
T_100052,9937869318,Sister Ifeanyi's Stall,Retailer,Ifeanyi,Okoro,ifeanyi.okoro60@gmail.com,02217776928,Ketu,Igbo,04368356949,64037001559,2308525.4,285,8100.09,323703.38,3463000.0,0.6,5.7,0.0,Bronze,2026-01-12 21:46:23.319138,2026-01-20 21:46:23.319138
T_100053,9936080844,Sister Sadiq's Wholesale,Online Vendor,Sadiq,Okoro,sadiq.okoro1@gmail.com,02355858305,Balogun,Igbo,68161489990,78091311566,2208171.35,825,2676.57,297385.51,3312000.0,0.48,6.6,0.0,Bronze,2025-09-03 21:46:23.319244,2025-09-14 21:46:23.319244
T_100054,9953326501,Sister Sadiq's Global,Retailer,Sadiq,Balogun,sadiq.balogun73@gmail.com,05935759954,Alaba,Yoruba,55148864968,40479178642,840205.26,1310,641.38,104813.68,1260000.0,0.4,90.7,1680400.0,Gold,2025-11-18 21:46:23.319346,2025-12-04 21:46:23.319346
T_100055,9945129414,Madam Emeka's Retail,Small Kiosk,Emeka,Nwosu,emeka.nwosu44@gmail.com,04564645596,Mushin,Yoruba,71281273012,09705600701,401935.19,200,2009.68,51859.81,603000.0,0.6,55.9,160800.0,Bronze,2025-07-12 21:46:23.319449,2025-07-31 21:46:23.319449
T_100056,9925711797,Mama Joshua's Retail,Wholesaler,Joshua,Danjuma,joshua.danjuma64@gmail.com,02754313013,Balogun,Pidgin,68613746729,38108921958,1162839.65,1197,971.46,202416.95,1744000.0,0.68,19.0,0.0,Silver,2025-09-29 21:46:23.319555,2025-10-14 21:46:23.319555
T_100057,9934371029,Mama Abubakar's Ventures,Retailer,Abubakar,Yusuf,abubakar.yusuf2@gmail.com,01465266372,Ketu,Pidgin,01026556716,77436492536,802213.48,847,947.12,110260.23,1203000.0,0.79,65.9,320900.0,Gold,2025-11-04 21:46:23.319656,2025-11-12 21:46:23.319656
T_100058,9920481371,Mama Funke's Global,Wholesaler,Funke,Abubakar,funke.abubakar2@gmail.com,01993929969,Mile 12,Yoruba,56054742738,33984007599,2070701.8,785,2637.84,292948.67,3106000.0,0.91,37.8,0.0,None,2025-12-10 21:46:23.319759,2025-12-31 21:46:23.319759
T_100059,9955294035,Sister Nneka's Wholesale,Small Kiosk,Nneka,Okoro,nneka.okoro23@gmail.com,03438223058,Alaba,Pidgin,22576627698,21733775646,2334955.94,1094,2134.33,406765.54,3502000.0,0.91,99.2,4669900.0,Bronze,2025-10-19 21:46:23.319871,2025-11-03 21:46:23.319871
T_100060,9976936430,Brother Zainab's Wholesale,Online Vendor,Zainab,Uba,zainab.uba9@gmail.com,02201281079,Ketu,English,63558474574,30037479107,2119423.98,872,2430.53,135931.16,3179000.0,0.85,61.1,847800.0,None,2025-10-08 21:46:23.319972,2025-11-05 21:46:23.319972
T_100061,9995258264,Brother Tunde's Global,Wholesaler,Tunde,Abiola,tunde.abiola86@gmail.com,08777766386,Mile 12,Hausa,02790774841,97529807038,820306.02,849,966.2,130157.47,1230000.0,0.37,56.5,328100.0,Silver,2025-10-04 21:46:23.320074,2025-10-28 21:46:23.320074
T_100062,9960330603,Madam Kelechi's Ventures,Online Vendor,Kelechi,Okoro,kelechi.okoro52@gmail.com,00404435198,Mushin,Igbo,15393730535,67687415147,1981582.4,224,8846.35,360058.01,2972000.0,0.53,17.5,0.0,Gold,2025-11-23 21:46:23.320176,2025-12-19 21:46:23.320176
T_100063,9942275083,Brother Joshua's Enterprises,Retailer,Joshua,Chukwu,joshua.chukwu75@gmail.com,00190246182,Mile 12,Pidgin,70238922648,01776831596,1094380.93,726,1507.41,185460.12,1642000.0,0.61,5.1,0.0,Bronze,2025-09-18 21:46:23.320277,2025-09-26 21:46:23.320277
T_100064,9939538060,Baba Aminu's Global,Retailer,Aminu,Nwosu,aminu.nwosu86@gmail.com,02321055868,Alaba,Yoruba,25844463290,61789032910,429782.39,327,1314.32,78265.23,645000.0,0.39,8.5,0.0,Gold,2025-09-06 21:46:23.320384,2025-09-16 21:46:23.320384
T_100065,9954271332,Brother Sadiq's Retail,Online Vendor,Sadiq,Okonkwo,sadiq.okonkwo30@gmail.com,01445986564,Ketu,Pidgin,00485639959,42296537818,2032499.1,692,2937.14,216472.1,3049000.0,0.41,2.8,0.0,None,2025-07-29 21:46:23.320483,2025-08-18 21:46:23.320483
T_100066,9959450562,Brother Zainab's Ventures,Retailer,Zainab,Okonkwo,zainab.okonkwo49@gmail.com,05430328416,Mushin,Igbo,57068679716,02920347994,319356.8,430,742.69,30643.13,479000.0,0.45,86.8,638700.0,None,2025-05-12 21:46:23.320586,2025-05-13 21:46:23.320586
T_100067,9932623944,Mama Mary's Wholesale,Small Kiosk,Mary,Chukwu,mary.chukwu14@gmail.com,00400731547,Alaba,Igbo,84410580365,21109410638,1721660.61,707,2435.16,319031.99,2582000.0,0.73,37.4,0.0,None,2026-02-04 21:46:23.320688,2026-02-24 21:46:23.320688
T_100068,9995942232,Mama Aminu's Stall,Online Vendor,Aminu,Abubakar,aminu.abubakar17@gmail.com,04430992888,Mile 12,Igbo,18707406702,14295047132,586582.44,830,706.73,37199.07,880000.0,0.89,17.7,0.0,Gold,2025-08-13 21:46:23.320798,2025-08-31 21:46:23.320798
T_100069,9992536864,Mama Tunde's Ventures,Wholesaler,Tunde,Yusuf,tunde.yusuf37@gmail.com,05809168694,Oshodi,Igbo,91644461243,96629473152,244272.69,363,672.93,38773.79,366000.0,0.96,69.0,97700.0,None,2025-05-15 21:46:23.320898,2025-05-23 21:46:23.320898
T_100070,9948861355,Alhaji Aisha's Ventures,Online Vendor,Aisha,Suleiman,aisha.suleiman87@gmail.com,08404828413,Mushin,Pidgin,90608431400,25994123731,1231966.49,245,5028.43,125316.64,1848000.0,0.92,79.1,1232000.0,Bronze,2026-01-17 21:46:23.321005,2026-01-30 21:46:23.321005
T_100071,9916405245,Mama Ibrahim's Wholesale,Wholesaler,Ibrahim,Balogun,ibrahim.balogun97@gmail.com,01258436822,Mushin,Hausa,90365837405,05576929015,1487405.95,879,1692.16,183496.9,2231000.0,0.36,89.7,2974800.0,Bronze,2025-07-29 21:46:23.321109,2025-08-14 21:46:23.321109
T_100072,9998390855,Mama Abubakar's Ventures,Online Vendor,Abubakar,Abiola,abubakar.abiola37@gmail.com,02575400604,Oshodi,Yoruba,82224634721,90861974011,2432355.3,1195,2035.44,363248.05,3649000.0,0.41,73.6,2432400.0,Bronze,2025-07-05 21:46:23.321212,2025-07-30 21:46:23.321212
T_100073,9925599633,Madam Abubakar's Hub,Wholesaler,Abubakar,Abiola,abubakar.abiola85@gmail.com,06897847421,Ketu,Igbo,92130744296,39566161936,448458.94,845,530.72,80111.9,673000.0,0.96,91.0,896900.0,Bronze,2025-12-03 21:46:23.321317,2025-12-16 21:46:23.321317
T_100074,9922739753,Mama Blessing's Wholesale,Wholesaler,Blessing,Eze,blessing.eze5@gmail.com,07281479267,Alaba,Igbo,67219383729,91550145601,2404620.71,943,2549.97,465734.8,3607000.0,0.6,30.4,0.0,Silver,2025-12-29 21:46:23.321414,2026-01-09 21:46:23.321414
T_100075,9951962847,Madam Aisha's Retail,Online Vendor,Aisha,Abiola,aisha.abiola65@gmail.com,01760976241,Alaba,Pidgin,59842207731,10297664269,1651418.66,1410,1171.22,265310.65,2477000.0,0.95,9.7,0.0,Gold,2025-08-08 21:46:23.321516,2025-08-29 21:46:23.321516
T_100076,9957280805,Mama Aminu's Retail,Wholesaler,Aminu,Balogun,aminu.balogun12@gmail.com,07874497741,Balogun,Pidgin,03963340198,76710201531,467421.21,301,1552.89,25579.91,701000.0,0.3,5.6,0.0,Bronze,2026-01-02 21:46:23.321615,2026-01-06 21:46:23.321615
T_100077,9999653706,Brother Kelechi's Enterprises,Small Kiosk,Kelechi,Nwosu,kelechi.nwosu15@gmail.com,06671877203,Idumota,Pidgin,48536995145,30079681697,624512.8,1430,436.72,104148.21,937000.0,0.53,69.6,249800.0,None,2025-12-27 21:46:23.321728,2026-01-22 21:46:23.321728
T_100078,9949461352,Alhaji Blessing's Stall,Small Kiosk,Blessing,Balogun,blessing.balogun41@gmail.com,02701610219,Idumota,Yoruba,07269847531,57412771339,2000245.26,347,5764.4,300927.49,3000000.0,0.47,15.8,0.0,Gold,2026-02-09 21:46:23.321828,2026-03-05 21:46:23.321828
T_100079,9912391750,Brother Sadiq's Enterprises,Wholesaler,Sadiq,Nwosu,sadiq.nwosu45@gmail.com,03255516248,Mile 12,Igbo,85870339473,24355479829,1232069.99,872,1412.92,104525.09,1848000.0,0.96,66.7,492800.0,Gold,2025-11-30 21:46:23.321938,2025-12-14 21:46:23.321938
T_100080,9975172875,Brother Folashade's Hub,Online Vendor,Folashade,Uba,folashade.uba91@gmail.com,03283128106,Mile 12,Pidgin,09705019725,06471100926,218290.32,420,519.74,11117.36,327000.0,0.82,50.9,87300.0,Bronze,2026-01-18 21:46:23.322044,2026-02-09 21:46:23.322044
T_100081,9970785278,Sister Emeka's Enterprises,Online Vendor,Emeka,Danjuma,emeka.danjuma50@gmail.com,03165639786,Ketu,Yoruba,72425182123,65461299370,1726116.46,464,3720.08,101957.94,2589000.0,0.68,20.6,0.0,Gold,2026-01-10 21:46:23.322147,2026-01-25 21:46:23.322147
T_100082,9951827913,Alhaji Nneka's Hub,Wholesaler,Nneka,Suleiman,nneka.suleiman84@gmail.com,04002136041,Idumota,English,57841264980,92548238683,313665.65,1027,305.42,62300.51,470000.0,0.65,73.6,313700.0,Silver,2025-12-02 21:46:23.322244,2025-12-05 21:46:23.322244
T_100083,9926803459,Mama Ibrahim's Hub,Online Vendor,Ibrahim,Okonkwo,ibrahim.okonkwo58@gmail.com,08954616123,Mushin,Yoruba,38378955694,44109097913,2188691.84,241,9081.71,115347.39,3283000.0,0.83,7.1,0.0,None,2026-01-16 21:46:23.322344,2026-01-19 21:46:23.322344
T_100084,9989291089,Mama Sadiq's Retail,Retailer,Sadiq,Eze,sadiq.eze36@gmail.com,09801957936,Mile 12,Yoruba,79611838306,03031837371,1983651.44,444,4467.68,139529.73,2975000.0,0.4,50.5,793500.0,Gold,2025-06-12 21:46:23.322444,2025-07-07 21:46:23.322444
T_100085,9934853322,Madam Ibrahim's Enterprises,Retailer,Ibrahim,Yusuf,ibrahim.yusuf44@gmail.com,01183004075,Balogun,Pidgin,37398084531,27120644455,2272993.74,1358,1673.78,450535.53,3409000.0,0.47,44.3,909200.0,Bronze,2025-12-28 21:46:23.322543,2026-01-08 21:46:23.322543
T_100086,9915107515,Madam Folashade's Ventures,Online Vendor,Folashade,Danjuma,folashade.danjuma13@gmail.com,01382661221,Alaba,Igbo,33737770736,11196930915,1018343.37,255,3993.5,77998.06,1528000.0,0.98,99.6,2036700.0,Gold,2025-07-15 21:46:23.322641,2025-07-30 21:46:23.322641
T_100087,9928765497,Sister Funke's Wholesale,Small Kiosk,Funke,Adeyemi,funke.adeyemi64@gmail.com,07038197697,Oshodi,Igbo,06260035703,22281165034,746230.32,863,864.69,93543.75,1119000.0,0.67,57.6,298500.0,None,2025-06-28 21:46:23.322754,2025-07-07 21:46:23.322754
