seeker_id,squad_account_number,first_name,last_name,email,phone_number,location,languages_spoken,skills_list,zovu_pulse_score,trust_score,punctuality_index,completion_rate,ajo_savings_balance,auto_save_pct,shield_status,emergency_contact_phone,created_at,updated_at
S_500020,9921144515,Chioma,Bello,chioma.bello554@gmail.com,06043203831,Mile 12,['Igbo'],"['Driving', 'Packaging']",41.2,0.52,0.04,0.63,39576.99,0.0,Personal,01951979050,2026-03-14 21:46:23.451132,2026-03-22 21:46:23.451132
S_500021,9984298671,Chioma,Bello,chioma.bello744@gmail.com,05377261159,Mushin,"['Pidgin', 'Igbo']","['Driving', 'Heavy Lifting']",93.4,0.39,0.61,0.01,28391.18,0.05,None,07509304470,2026-02-22 21:46:23.451184,2026-03-05 21:46:23.451184
S_500022,9968994814,Zainab,Adeyemi,zainab.adeyemi841@gmail.com,01393713599,Ketu,"['Yoruba', 'Hausa']",['Packaging'],87.2,0.93,0.25,0.13,34776.37,0.15,None,01158260673,2025-12-27 21:46:23.451243,2026-01-06 21:46:23.451243
S_500023,9989461012,Zainab,Yusuf,zainab.yusuf952@gmail.com,01935281141,Alaba,"['Pidgin', 'English']","['Sales', 'Stock Counting']",24.2,0.9,0.6,0.64,19655.7,0.15,Family,08503259978,2026-04-05 21:46:23.451296,2026-04-20 21:46:23.451296
S_500024,9975923369,Olumide,Adeyemi,olumide.adeyemi696@gmail.com,08615476245,Mushin,"['Igbo', 'English']","['Logistics', 'Stock Counting']",64.5,0.68,0.98,0.98,8081.5,0.0,Family,09285988457,2026-01-25 21:46:23.451348,2026-01-30 21:46:23.451348
S_500025,9944883532,Ifeanyi,Abubakar,ifeanyi.abubakar950@gmail.com,04388222166,Ketu,"['Igbo', 'Hausa', 'Yoruba']","['Packaging', 'Stock Counting']",80.6,0.84,0.35,0.77,5455.12,0.15,Personal,03234411386,2025-12-05 21:46:23.451405,2025-12-19 21:46:23.451405
S_500026,9990865064,Ibrahim,Adeyemi,ibrahim.adeyemi301@gmail.com,04921386213,Mile 12,"['Hausa', 'Yoruba', 'Pidgin']",['Stock Counting'],84.9,0.49,0.01,0.52,40754.4,0.1,Personal,06517991429,2025-11-04 21:46:23.451460,2025-11-12 21:46:23.451460
S_500027,9993213198,Folashade,Eze,folashade.eze534@gmail.com,07100595165,Idumota,"['Igbo', 'Hausa', 'Pidgin']",['Sales'],93.8,0.69,0.09,0.61,8067.17,0.1,None,08096859102,2026-03-10 21:46:23.451514,2026-03-14 21:46:23.451514
S_500028,9953421964,Aminu,Suleiman,aminu.suleiman350@gmail.com,07950934897,Mushin,"['Pidgin', 'Yoruba', 'Hausa']","['Logistics', 'Sales']",40.4,0.41,0.83,0.88,16167.01,0.0,Personal,02450407773,2025-11-17 21:46:23.451567,2025-11-21 21:46:23.451567
S_500029,9922630556,Abubakar,Okonkwo,abubakar.okonkwo585@gmail.com,09386550853,Oshodi,['Yoruba'],['Sales'],48.5,0.59,0.36,0.62,47992.57,0.0,Family,06693173357,2026-04-02 21:46:23.451621,2026-04-15 21:46:23.451621
S_500030,9949348834,Aminu,Ibrahim,aminu.ibrahim215@gmail.com,04095438730,Mile 12,['Pidgin'],"['Logistics', 'Heavy Lifting']",2.2,0.35,0.55,0.88,32310.31,0.1,Personal,04488054840,2025-12-11 21:46:23.451676,2025-12-13 21:46:23.451676
S_500031,9999686646,Kelechi,Ibrahim,kelechi.ibrahim951@gmail.com,09458255357,Mile 12,"['Hausa', 'English', 'Pidgin']","['Heavy Lifting', 'Sales']",65.9,0.4,0.55,0.35,7100.91,0.05,Personal,09907564957,2026-01-16 21:46:23.451729,2026-01-25 21:46:23.451729
S_500032,9963957413,Aisha,Adebayo,aisha.adebayo267@gmail.com,02318494316,Mushin,"['Hausa', 'Pidgin', 'Igbo']","['Heavy Lifting', 'Logistics']",60.6,0.11,0.13,0.67,18737.56,0.1,Personal,08851195654,2026-02-25 21:46:23.451787,2026-03-08 21:46:23.451787
S_500033,9977177729,Aminu,Chukwu,aminu.chukwu595@gmail.com,08017668482,Mile 12,"['Yoruba', 'Pidgin', 'Hausa']",['Packaging'],94.4,0.33,0.79,0.39,35120.5,0.15,Personal,09654924027,2025-11-02 21:46:23.451840,2025-11-11 21:46:23.451840
S_500034,9926056743,Ifeanyi,Danjuma,ifeanyi.danjuma643@gmail.com,07725675136,Balogun,"['English', 'Yoruba', 'Pidgin']",['Packaging'],8.1,0.65,0.52,0.61,24368.78,0.05,None,08504660160,2026-01-05 21:46:23.451894,2026-01-19 21:46:23.451894
S_500035,9949036146,Abubakar,Adebayo,abubakar.adebayo389@gmail.com,02605056427,Oshodi,"['Hausa', 'Pidgin', 'Yoruba']",['Stock Counting'],61.9,0.21,0.96,0.46,20032.73,0.1,Family,08436666671,2026-01-30 21:46:23.451952,2026-02-11 21:46:23.451952
S_500036,9931955606,Chinedu,Okoro,chinedu.okoro139@gmail.com,06034914197,Idumota,"['English', 'Pidgin', 'Igbo']",['Sales'],64.9,0.12,0.75,0.79,37807.06,0.15,None,07768258242,2025-11-04 21:46:23.452004,2025-11-06 21:46:23.452004
S_500037,9995574856,Joshua,Uba,joshua.uba216@gmail.com,06726615977,Balogun,"['Hausa', 'English']",['Sales'],46.8,0.01,0.92,0.81,37928.77,0.1,Personal,01391088561,2026-02-11 21:46:23.452060,2026-02-26 21:46:23.452060
S_500038,9933715459,Funke,Bello,funke.bello43@gmail.com,00752439029,Ketu,"['Igbo', 'Pidgin', 'Hausa']","['Stock Counting', 'Sales']",4.6,0.92,0.22,0.24,18657.96,0.0,Personal,00483515265,2026-03-06 21:46:23.452111,2026-03-11 21:46:23.452111
S_500039,9989025376,Ibrahim,Yusuf,ibrahim.yusuf540@gmail.com,07006156790,Mile 12,['Pidgin'],"['Packaging', 'Sales']",61.7,0.12,0.16,0.35,11713.82,0.0,Family,05993598389,2026-01-29 21:46:23.452168,2026-02-09 21:46:23.452168
S_500040,9937565184,Mary,Nwosu,mary.nwosu532@gmail.com,06697525834,Balogun,"['Igbo', 'Pidgin']","['Sales', 'Logistics']",94.2,0.75,0.52,0.06,41877.6,0.15,Personal,01089770194,2025-11-13 21:46:23.452221,2025-11-20 21:46:23.452221
S_500041,9943094536,Mary,Abiola,mary.abiola275@gmail.com,03941701424,Idumota,"['English', 'Igbo', 'Yoruba']","['Heavy Lifting', 'Logistics']",96.3,0.8,0.81,0.72,5490.89,0.1,None,02873616239,2025-12-20 21:46:23.452274,2025-12-22 21:46:23.452274
S_500042,9929659795,Nneka,Adebayo,nneka.adebayo951@gmail.com,06555805227,Idumota,"['Pidgin', 'English']","['Heavy Lifting', 'Sales']",65.4,0.31,0.42,0.87,38481.0,0.05,None,02915924657,2026-01-11 21:46:23.452333,2026-01-21 21:46:23.452333
S_500043,9943096209,Aminu,Yusuf,aminu.yusuf568@gmail.com,09681244248,Oshodi,"['English', 'Pidgin', 'Igbo']",['Stock Counting'],52.3,0.91,0.63,0.46,11833.17,0.05,Personal,05871621013,2026-01-20 21:46:23.452388,2026-01-27 21:46:23.452388
S_500044,9972473100,Olumide,Adeyemi,olumide.adeyemi31@gmail.com,04982324753,Idumota,"['Pidgin', 'Hausa']",['Stock Counting'],35.4,0.37,0.15,0.57,17381.65,0.05,Family,00275012923,2026-01-02 21:46:23.452444,2026-01-17 21:46:23.452444
S_500045,9995970766,Abubakar,Chukwu,abubakar.chukwu83@gmail.com,09566576681,Idumota,['Hausa'],['Heavy Lifting'],1.5,0.96,0.07,0.13,1031.91,0.0,None,02090433501,2026-01-26 21:46:23.452497,2026-02-03 21:46:23.452497
S_500046,9948935678,Chinedu,Nwosu,chinedu.nwosu279@gmail.com,02816754989,Ketu,['Hausa'],"['Logistics', 'Stock Counting']",15.9,0.44,0.7,0.36,16879.2,0.1,None,07297158076,2026-02-24 21:46:23.452549,2026-02-27 21:46:23.452549
S_500047,9993960460,Ifeanyi,Balogun,ifeanyi.balogun911@gmail.com,04906440999,Ketu,['Pidgin'],['Sales'],52.4,0.14,0.1,0.29,45400.42,0.1,None,00633396808,2026-04-07 21:46:23.452607,2026-04-17 21:46:23.452607
S_500048,9998999711,Ifeanyi,Adebayo,ifeanyi.adebayo378@gmail.com,04427645004,Balogun,['English'],['Packaging'],83.2,0.09,0.86,0.49,5906.88,0.15,None,09320375743,2026-03-06 21:46:23.452662,2026-03-12 21:46:23.452662
S_500049,9914263177,Chioma,Adebayo,chioma.adebayo492@gmail.com,05571863180,Ketu,"['Yoruba', 'English', 'Pidgin']","['Stock Counting', 'Heavy Lifting']",57.4,0.91,0.11,0.5,32043.25,0.1,Personal,08782951424,2026-04-01 21:46:23.452711,2026-04-05 21:46:23.452711
S_500050,9927942865,Abubakar,Ibrahim,abubakar.ibrahim362@gmail.com,05678822669,Mile 12,"['Yoruba', 'Hausa', 'English']","['Stock Counting', 'Logistics']",70.2,0.1,0.56,0.26,28442.91,0.0,Personal,07649687757,2026-02-06 21:46:23.452764,2026-02-12 21:46:23.452764
S_500051,9991378527,Tunde,Adebayo,tunde.adebayo758@gmail.com,02467317311,Alaba,"['English', 'Yoruba', 'Pidgin']",['Stock Counting'],88.2,0.64,0.16,0.35,48074.5,0.05,Personal,07118465332,2026-03-03 21:46:23.452816,2026-03-14 21:46:23.452816
S_500052,9926607632,Olumide,Okonkwo,olumide.okonkwo747@gmail.com,06940801515,Balogun,['Hausa'],['Packaging'],79.3,0.08,0.85,0.33,28626.51,0.1,Personal,06340484543,2025-12-15 21:46:23.452872,2025-12-23 21:46:23.452872
S_500053,9962770262,Chioma,Okoro,chioma.okoro957@gmail.com,08644732741,Alaba,"['Yoruba', 'Pidgin']","['Sales', 'Driving']",36.8,0.23,0.63,0.59,14223.1,0.1,None,08627172894,2026-03-27 21:46:23.452929,2026-04-05 21:46:23.452929
S_500054,9915111000,Ifeanyi,Balogun,ifeanyi.balogun599@gmail.com,03610015229,Oshodi,"['Hausa', 'English']",['Logistics'],2.6,0.29,0.66,0.53,41144.28,0.0,Personal,03222077672,2026-02-14 21:46:23.452982,2026-02-25 21:46:23.452982
S_500055,9943018421,Chioma,Ibrahim,chioma.ibrahim460@gmail.com,06725049835,Idumota,"['English', 'Yoruba']","['Sales', 'Heavy Lifting']",81.5,0.48,0.24,0.7,8699.58,0.15,Family,09936703358,2025-11-06 21:46:23.453033,2025-11-17 21:46:23.453033
S_500056,9923767813,Bolanle,Okoro,bolanle.okoro823@gmail.com,07656937965,Alaba,['Hausa'],"['Driving', 'Logistics']",13.8,0.1,0.56,0.08,11472.14,0.0,Family,09254486513,2025-12-13 21:46:23.453089,2025-12-28 21:46:23.453089
S_500057,9915800136,Blessing,Bello,blessing.bello424@gmail.com,00456277963,Ketu,"['Igbo', 'English', 'Yoruba']",['Sales'],9.2,0.92,0.44,0.52,22976.83,0.15,Personal,01441314776,2026-04-04 21:46:23.453140,2026-04-15 21:46:23.453140
S_500058,9962487406,Bolanle,Suleiman,bolanle.suleiman131@gmail.com,05481306990,Mushin,"['Igbo', 'Yoruba']",['Sales'],17.7,0.66,0.5,0.23,9691.6,0.0,Personal,01112635449,2025-12-23 21:46:23.453195,2025-12-26 21:46:23.453195
S_500059,9966074855,Ifeanyi,Suleiman,ifeanyi.suleiman609@gmail.com,03082909410,Ketu,"['English', 'Hausa', 'Yoruba']",['Stock Counting'],64.8,0.53,0.14,0.96,47038.91,0.0,Family,01126512028,2026-01-01 21:46:23.453248,2026-01-06 21:46:23.453248
S_500060,9914074810,Aisha,Okonkwo,aisha.okonkwo277@gmail.com,09084345633,Mile 12,"['English', 'Pidgin']","['Stock Counting', 'Sales']",31.2,0.77,0.5,0.82,17612.44,0.05,Family,05795728905,2026-01-24 21:46:23.453300,2026-02-04 21:46:23.453300
S_500061,9947121361,Chinedu,Yusuf,chinedu.yusuf306@gmail.com,04844124429,Idumota,"['Igbo', 'Pidgin', 'English']","['Sales', 'Packaging']",14.5,0.13,0.45,0.84,18485.2,0.05,None,04531556388,2025-11-27 21:46:23.453356,2025-12-01 21:46:23.453356
S_500062,9929016355,Tunde,Balogun,tunde.balogun885@gmail.com,04797233167,Oshodi,['English'],['Packaging'],37.1,0.3,0.68,0.87,40140.73,0.1,None,09966583276,2026-01-26 21:46:23.453414,2026-01-31 21:46:23.453414
S_500063,9975063631,Chinedu,Eze,chinedu.eze714@gmail.com,02631470973,Mile 12,['Pidgin'],['Driving'],32.2,0.14,0.28,0.88,9487.83,0.0,Family,02504544562,2026-01-30 21:46:23.453465,2026-02-10 21:46:23.453465
S_500064,9929342044,Olumide,Bello,olumide.bello896@gmail.com,06898181482,Mushin,"['Igbo', 'Hausa']","['Heavy Lifting', 'Sales']",6.9,0.14,0.27,0.58,5168.38,0.05,None,07656555596,2026-02-12 21:46:23.453520,2026-02-26 21:46:23.453520
S_500065,9980397037,Emeka,Uba,emeka.uba724@gmail.com,09625054521,Mile 12,['Pidgin'],['Sales'],26.5,0.52,0.41,0.12,36500.38,0.1,None,05001421133,2026-01-26 21:46:23.453575,2026-01-27 21:46:23.453575
S_500066,9993279234,Sadiq,Okoro,sadiq.okoro262@gmail.com,03271125460,Mile 12,"['Pidgin', 'English']","['Stock Counting', 'Logistics']",12.9,0.38,0.98,0.67,40524.72,0.0,Personal,07581962694,2026-03-13 21:46:23.453630,2026-03-16 21:46:23.453630
S_500067,9918536568,Kelechi,Suleiman,kelechi.suleiman52@gmail.com,09936685237,Idumota,['Pidgin'],['Driving'],71.2,0.33,0.0,0.97,25051.64,0.15,Family,09147900684,2025-12-23 21:46:23.453683,2025-12-24 21:46:23.453683
S_500068,9990939325,Mary,Bello,mary.bello125@gmail.com,04084695273,Oshodi,"['Yoruba', 'Pidgin']","['Stock Counting', 'Logistics']",30.8,0.15,0.39,0.17,8492.69,0.15,Personal,05408566076,2025-11-20 21:46:23.453734,2025-11-27 21:46:23.453734
S_500069,9960904736,Olumide,Abiola,olumide.abiola802@gmail.com,02625033707,Alaba,"['Hausa', 'Igbo', 'Pidgin']",['Heavy Lifting'],86.4,0.51,0.46,0.6,38886.0,0.0,None,06654605568,2026-02-13 21:46:23.453786,2026-02-28 21:46:23.453786
S_500070,9913085874,Chioma,Abiola,chioma.abiola685@gmail.com,00404341220,Balogun,['English'],"['Stock Counting', 'Logistics']",14.0,0.15,0.94,0.63,14599.48,0.0,None,00375585638,2025-12-05 21:46:23.453839,2025-12-12 21:46:23.453839
S_500071,9959235759,Mary,Eze,mary.eze280@gmail.com,03580646124,Alaba,"['Pidgin', 'English']",['Driving'],57.9,0.69,0.2,0.13,1760.99,0.05,None,09555652311,2026-03-20 21:46:23.453890,2026-03-23 21:46:23.453890
S_500072,9939837117,Aminu,Suleiman,aminu.suleiman54@gmail.com,07638503855,Mushin,"['English', 'Igbo']","['Driving', 'Sales']",14.0,0.26,0.93,0.45,11684.64,0.0,None,07043543505,2025-10-27 21:46:23.453947,2025-11-09 21:46:23.453947
S_500073,9914084197,Mary,Nwosu,mary.nwosu756@gmail.com,09969432770,Oshodi,['Hausa'],['Sales'],49.7,0.29,0.85,0.84,6918.93,0.05,None,03688145627,2025-11-02 21:46:23.453999,2025-11-10 21:46:23.453999
S_500074,9946248938,Kelechi,Ibrahim,kelechi.ibrahim854@gmail.com,08116071479,Mile 12,"['Igbo', 'English']",['Heavy Lifting'],71.0,0.35,0.31,0.48,25577.53,0.0,Family,05384747028,2026-02-20 21:46:23.454052,2026-03-07 21:46:23.454052
S_500075,9989964533,Funke,Ibrahim,funke.ibrahim395@gmail.com,05459196747,Mile 12,['Pidgin'],"['Sales', 'Driving']",83.2,0.69,0.08,0.92,26633.97,0.1,None,02860704825,2025-11-30 21:46:23.454106,2025-12-10 21:46:23.454106
S_500076,9937132312,Joshua,Chukwu,joshua.chukwu695@gmail.com,05771114276,Oshodi,"['Pidgin', 'English', 'Hausa']",['Stock Counting'],91.3,0.45,0.55,0.75,29648.68,0.15,None,05672152214,2025-11-22 21:46:23.454157,2025-11-27 21:46:23.454157
S_500077,9975411405,Mary,Bello,mary.bello579@gmail.com,06676144936,Oshodi,"['English', 'Igbo', 'Hausa']",['Stock Counting'],9.2,0.03,0.73,0.96,20492.2,0.05,None,08703254294,2026-03-20 21:46:23.454212,2026-04-01 21:46:23.454212
S_500078,9984811278,Ibrahim,Adeyemi,ibrahim.adeyemi491@gmail.com,03631092548,Mushin,['Yoruba'],['Heavy Lifting'],65.0,0.04,0.23,0.17,48446.5,0.0,Personal,03209918952,2026-01-15 21:46:23.454265,2026-01-25 21:46:23.454265
S_500079,9915815047,Tunde,Abiola,tunde.abiola488@gmail.com,04952344546,Mushin,"['Yoruba', 'English', 'Hausa']","['Heavy Lifting', 'Driving']",20.2,0.43,0.1,0.37,44715.22,0.1,Family,03546826184,2026-02-08 21:46:23.454316,2026-02-14 21:46:23.454316
S_500080,9972763849,Funke,Yusuf,funke.yusuf351@gmail.com,06365945759,Alaba,"['English', 'Yoruba', 'Hausa']","['Logistics', 'Stock Counting']",19.3,0.68,0.04,0.69,10928.11,0.1,Personal,02651374835,2026-02-07 21:46:23.454371,2026-02-21 21:46:23.454371
S_500081,9993679613,Ifeanyi,Okoro,ifeanyi.okoro949@gmail.com,01770011666,Mile 12,"['Hausa', 'Pidgin', 'Yoruba']",['Sales'],85.0,0.74,0.71,0.06,24040.63,0.05,Personal,00530024302,2025-12-06 21:46:23.454424,2025-12-07 21:46:23.454424
S_500082,9943170140,Chioma,Balogun,chioma.balogun714@gmail.com,07162050386,Mushin,['English'],['Heavy Lifting'],72.2,0.11,0.4,0.73,47035.83,0.0,None,03337234876,2026-02-18 21:46:23.454483,2026-02-21 21:46:23.454483
S_500083,9975705589,Chinedu,Adeyemi,chinedu.adeyemi989@gmail.com,04390684378,Mushin,['Hausa'],"['Heavy Lifting', 'Sales']",39.4,0.06,0.53,0.93,40893.23,0.1,Family,00640382047,2025-10-30 21:46:23.454537,2025-11-10 21:46:23.454537
S_500084,9985496936,Ibrahim,Okonkwo,ibrahim.okonkwo41@gmail.com,09940186182,Ketu,"['Hausa', 'Yoruba', 'Pidgin']","['Stock Counting', 'Logistics']",84.6,0.35,0.13,0.97,11006.36,0.0,None,09707494866,2026-01-03 21:46:23.454588,2026-01-06 21:46:23.454588
S_500085,9933967209,Ibrahim,Adeyemi,ibrahim.adeyemi697@gmail.com,02848220363,Oshodi,"['Yoruba', 'English', 'Pidgin']","['Packaging', 'Driving']",54.4,0.69,0.9,0.42,40078.04,0.15,Personal,01707723315,2026-01-07 21:46:23.454648,2026-01-13 21:46:23.454648
S_500086,9910444463,Blessing,Danjuma,blessing.danjuma441@gmail.com,08663743034,Alaba,"['Pidgin', 'Igbo', 'English']","['Sales', 'Logistics']",31.6,0.72,0.97,0.97,32742.25,0.05,Personal,05580527801,2026-03-31 21:46:23.454701,2026-04-04 21:46:23.454701
S_500087,9949234523,Nneka,Abiola,nneka.abiola690@gmail.com,03822532114,Ketu,['English'],"['Stock Counting', 'Driving']",8.1,0.25,0.88,0.02,29283.86,0.1,Personal,02279874314,2025-12-20 21:46:23.454754,2026-01-04 21:46:23.454754
S_500088,9910689435,Emeka,Nwosu,emeka.nwosu228@gmail.com,06360785359,Oshodi,['Pidgin'],"['Packaging', 'Sales']",18.2,0.49,0.87,0.36,36339.54,0.1,Family,09366631663,2026-01-25 21:46:23.454806,2026-01-31 21:46:23.454806
S_500089,9963383920,Chinedu,Balogun,chinedu.balogun239@gmail.com,02036496196,Mushin,"['Pidgin', 'Yoruba']",['Driving'],59.7,0.09,0.21,0.23,37653.13,0.15,Family,06562044724,2026-02-18 21:46:23.454858,2026-02-23 21:46:23.454858
S_500090,9910279799,Sadiq,Danjuma,sadiq.danjuma316@gmail.com,04864765734,Mushin,"['Yoruba', 'English', 'Pidgin']",['Sales'],61.5,0.94,0.75,0.15,45401.49,0.1,Family,00058647260,2026-02-27 21:46:23.454910,2026-03-14 21:46:23.454910
S_500091,9988601806,Sadiq,Uba,sadiq.uba353@gmail.com,03877474021,Oshodi,['English'],"['Driving', 'Packaging']",76.0,0.66,0.94,0.97,23309.79,0.0,None,08250373594,2026-02-08 21:46:23.454965,2026-02-14 21:46:23.454965
S_500092,9957638062,Mary,Bello,mary.bello671@gmail.com,00583028534,Oshodi,"['English', 'Hausa', 'Yoruba']",['Sales'],3.2,0.22,0.11,0.5,47922.36,0.05,Family,08458886139,2025-10-28 21:46:23.455023,2025-10-30 21:46:23.455023
S_500093,9954187242,Aminu,Yusuf,aminu.yusuf696@gmail.com,05583895011,Mile 12,"['Igbo', 'Pidgin', 'Yoruba']",['Driving'],94.9,0.4,0.46,0.49,44018.31,0.15,Family,06888062085,2026-03-21 21:46:23.455078,2026-03-31 21:46:23.455078
S_500094,9958611909,Nneka,Suleiman,nneka.suleiman438@gmail.com,07221915068,Mushin,['Igbo'],['Heavy Lifting'],43.0,0.35,0.73,0.75,4765.95,0.0,Family,00948407289,2025-12-31 21:46:23.455133,2026-01-10 21:46:23.455133
S_500095,9990995848,Sadiq,Chukwu,sadiq.chukwu390@gmail.com,03386149642,Ketu,['Hausa'],['Sales'],68.5,0.79,0.46,0.1,47801.95,0.05,Family,02065899598,2026-03-26 21:46:23.455182,2026-04-07 21:46:23.455182
S_500096,9985276706,Ibrahim,Uba,ibrahim.uba304@gmail.com,09555099201,Balogun,"['Pidgin', 'English']",['Sales'],21.5,0.97,0.56,0.48,46599.89,0.05,None,06411240070,2026-03-22 21:46:23.455239,2026-04-05 21:46:23.455239
S_500097,9973377596,Bolanle,Bello,bolanle.bello477@gmail.com,06532421074,Alaba,['Yoruba'],"['Driving', 'Sales']",51.8,0.68,0.71,0.11,14045.45,0.1,Family,04038017166,2026-02-08 21:46:23.455290,2026-02-11 21:46:23.455290
S_500098,9946206204,Ifeanyi,Bello,ifeanyi.bello297@gmail.com,00525307354,Oshodi,['Igbo'],['Stock Counting'],18.3,0.86,0.64,0.7,28925.62,0.1,Family,02532477616,2026-02-07 21:46:23.455340,2026-02-21 21:46:23.455340
S_500099,9961290518,Aisha,Chukwu,aisha.chukwu797@gmail.com,01574441292,Oshodi,['Pidgin'],"['Packaging', 'Heavy Lifting']",36.2,0.28,0.38,0.42,8051.87,0.15,Family,00666590879,2026-01-22 21:46:23.455747,2026-01-23 21:46:23.455747
